workerid,nonliteral,happy1,sad1,amuse1,content1,disapp1,anger1,regret1,happy2,sad2,amuse2,content2,disapp2,anger2,regret2,response1ReactionTime,response2ReactionTime,freeResponseReactionTime,consent,ventingResponseLength,ventingResponse,gender,age,nativeLanguage
78,1,1,8,1,3,7,7,4,1,8,3,5,8,6,4,62610,34573,330483,1,453,It was just wonderful; my best \friend\ completely lied to me. It was stupid internet drama; where this friend of mine created a fake online profile to harass some of our other mutual friends. At that time no one knew who it was; though I suspected him because of the typing style. He said it wasn't him and since of course my amazing best friend wouldn't lie I believed him. That is; until I caught him red handed. We stopped being friends after that. ,F,24,English
79,0,3,6,4,5,6,6,6,4,4,5,5,5,6,5,24268,26009,312641,1,259,After waking up especially early to carry a couch out to the truck of a person was buying it; I was promptly yelled at for not carrying it fast enough. This made me angry because I went out of my way to help out the person who could move the couch themselves.,M,24,English
80,0,1,1,1,1,1,9,3,1,6,1,1,5,1,5,11845,15462,511780,1,295,I  was at a bar with a lot of my friends and my girlfriend when one of my friends tried to kiss her (against her will). I got mad; uncontrollably mad; and I pushed my friend over the table punched him as he stumbled. I felt bad for a week about until he apologized. I still wish I hadn't hit him,M,27,english
81,1,1,3,6,4,6,5,3,1,3,3,4,9,2,9,84301,24654,302421,1,535,I went out drinking with a friend of mine and I had on these pants with short pockets. I knew drinking hard liquor and wearing these pants would be bad because I'm constantly losing things. I told my friend to let me change; but being in a rush to get no where is his forte. I didn't change because I'm a genius and listening to other geniuses is my niche. I end up drinking and losing my wallet with my world in it. No problem. I just lost all of my money; my new drivers license; AAA card; and health care card. who needs that stuff.,M,26,english
82,1,5,3,4,4,5,6,6,3,3,5,3,8,8,2,12560,11423,144943,1,412,I was driving in my car yesterday and this jackass cut me off. Now; I know it seems like something really small; but it was upsetting-- specially in LA traffic. So this guy cuts me off; and I make a face at him and he proceeds to FLIP ME OFF; for failing to put down rose petals for his arrival. It drove me nuts because he was clearly in the wrong; but he felt the need to be rude on top of already being rude.\n,F,25,Portuguese
83,1,1,1,1,6,1,1,1,1,1,1,6,1,1,1,16357,16396,138125,1,841,I had some putz in the left turn lane one day while I was following my mother in my brothers truck.  We were both waiting on a light and he honked his horn to get my attention while his pitch flicked me off.  She had a pretty finger but I was not amused.  The light turned green; my mother continued straight; the punk turned left and I turned left and went after them.  I ran them off the road into a steep ditch; parked my brothers 4x4 in the ditch; got out and proceeded to express my dissatisfaction with their behavior.  The must not have understood me because; all they did was look forward and pretend I wasn't there.  I was satisfied; however and I put the truck in 4x mode and left the ditch to find my mother.  I have no idea how they got their little car out of the ditch.  I am pretty sure that is the maddest I have ever been.  ,M,48,English
84,0,2,8,3,5,9,8,5,2,9,1,1,9,7,8,19173,13619,104913,1,424,Thinking about a time I was angry.  I have been in a long distance relationship for almost 5 year.  My boyfriend just doesn't have time for me and I am sick of being lonely.  I tell him how I feel; and he completely dismisses my feelings as if they are not authentic and genuine!  How can he do that!  I need his attention; I cannot go on not being a priority to him.  I need more emotionally.  I don't think this will work.,F,35,English
85,1,1,6,1,1,9,7,1,2,3,1,6,3,5,1,408520,23063,144877,1,298,someone does something for you out of kindness you should be grateful even if it isn't exactly what you wanted its better than nothing. my mother surpirised my sister with a  new mattress but it wasn't the one she wanted so she was angry. I couldn't sleep thinking about how bratty she was acting. ,F,32,english
86,1,1,1,1,1,3,8,3,3,1,5,2,2,3,1,40915,16738,108412,1,284,I was angry at a coworker for not doing his job on the shift prior to mine. He is an extremely efficient worker who can always be counted on to do an excellent job and exceed expectations. I look forward to working after he has been on for the day. He should get a promotion for sure.,M,28,English
87,1,3,8,6,7,6,4,5,3,2,4,3,7,8,5,9575,12030,75635,0,255,My friend likes to make bad jokes even if he is a good friend; does he think i love his bad jokes that much? yes; i love them so much. You can imagine; how much but i cant say him directly .if he will continue this way; i will definetly going to tell him.,M,36,english
88,0,6,1,1,4,1,1,1,5,1,1,2,2,3,1,22897,28547,124075,1,370,When I had found out my ex wife was dating somebody on the internet.I was absolutley furious. I really never remember a time in my life when I was even close to being that angry. I had feelings of doing things that I thought I wasnt even capable of. It has litarly taken me almost 10 years to get over the anger and sometimes when i think about it it still ticks me off.,M,42,english
89,0,2,3,1,3,7,7,4,8,6,1,1,7,8,7,18990,17764,145160,1,559,My co-manager at the store I worked at didn't like me at all; so he organized all of the other workers together and had them give me the silent treatment. It's not easy to manage people who won't talk to you. I was livid. I couldn't believe a 45-year-old man could be so petty. I tried to talk to him about it; but he pretended like nothing was wrong. Then he went to the owner of the company behind my back and complained about my job performance; despite my performance being exemplary. He wanted me out; plain and simple. I couldn't sleep well that summer.,M,37,English
90,1,1,7,2,1,7,9,1,1,9,1,1,9,9,9,29541,15020,217325,1,464,My boss Gary required that all events that took place of graveyard shift be dictated word for word in the daily log. Somehow by every single thing this jackass said being taken down word for word; he becomes competent and useful instead of the suit filler that he was. I got behind one night; and this idiot dictated a fucking phone number on a vending machine. I 10-9ed him. He said (irritated) he would have to go back. 30 minutes behind; I could've killed him. ,M,39,English 
91,0,4,4,4,4,7,7,7,3,7,3,3,9,8,4,19373,24923,186708,0,397,My boyfriend recently tried to get some boxes of stuff from his ex wife. These boxes contain items from his childhood. She essentially told him she needed more notice and blew him off. This happens every time he tries to pick them up and has been going on for months and months. it made me very upset for him becuase he just wants to get it over with so we never have to talk to this woman again. ,F,32,English
92,1,1,7,1,1,7,7,5,1,8,1,1,7,8,7,41594,20509,314738,1,394,This past weekend my parents hosted a family dinner for about 10 of us. Everyone brought food or drink but my brother thought it sufficient to bring his total lack of sobriety. He showed up drunk and really entertained the group with his belligerence and anger.  The children present got a wonderful glimpse of what happens when perpetual unemployment meets alcoholism. It was a marvelous time.,F,42,English
93,0,1,3,1,1,6,6,1,1,4,1,1,5,6,2,22066,12264,68769,1,296,I was trying to get my life together. I was right out of highschool. I was doing all the things I needed too so that I could successfully prepare for my future. But my mom and her husband kicked me out of their house. I immediately lost all hope of getting my future schooling/finances in shape. ,M,20,english
94,1,1,7,1,4,5,6,6,1,6,1,6,7,7,6,42306,12839,91624,1,393,Well; obviously; this one time I was walking with my friend to go to the store to get us something to drink on. Then this man; probably about 8 foot tall; came up on us and tried to rob us. I told him to back up and get away from me before something bad happens. He ended up running away just as a police car was driving by and I ended up getting questioned by the cop like I was the criminal.,M,26,English
95,1,6,7,5,6,6,8,6,5,8,7,7,5,8,7,5939,3672,66578,1,294,This man would not let me speak.  We started on a relation to college studies and then he told me somethings about his life.  I followed back with some things about my life.  Then he stole the conversation and just begin to talk about himself and I got so annoyed and angry that I had to leave.,M,28,English
96,0,1,3,1,1,6,7,7,1,3,1,1,6,8,8,23693,10961,61341,1,269,One of my best friends liked a girl that I was seeing; and decided that he wanted to put a stop to it. So he got to talking in her ear; telling her lies about me; and she eventually decided to call it quits. A year later he starts dating her and now they live together.,M,27,English
97,1,9,9,1,1,9,9,9,1,1,1,1,9,6,5,15153,13857,77907,1,317,My ex-husband was stationed overseas. I was pregnant with our first child and waiting to get housing where he was stationed. It was taking much longer than it should have. I found out that he hadn't submitted the paperwork to get housing for months. And I found out that he was cheating on me with his friend's wife. ,F,35,English
98,0,4,4,8,2,8,4,8,1,8,1,1,9,2,9,25237,16922,93016,1,480,I was having a bad week because of some major tooth pain; and a one time close friend sent me an email basically calling me out for being a flake.  I had recently lost my car; and was living in a no party environment; so she had some good points.  Instead of having a conversation; I got angry and defensive.  I sent her a nasty email to which her response was \yuck; I'm not dealing with this anymore\.  I calmed down later; but we haven't talked in 3 years since the incident.  ,M,35,English
99,0,3,6,4,3,6,5,4,3,6,2,2,7,4,3,14618,15782,89431,0,384,I needed my brother to come home early to help me with something we both needed to get done. It was to move around furniture and clean up before some guests showed up the next day. He showed up hours late; late at night. He came home drunk; and was a total ass about it. When he finally did start helping; he ended up passing out on the couch anyway so I couldn't do anything at all. ,M,26,English
100,1,3,3,1,2,7,7,5,3,3,1,1,7,8,5,14930,10752,87138,1,328,I couldn't have enjoyed more when my brother continues to eat the food that I buy and make.  His laziness to cook and consideration of others; like buying food that other people can eat; is something to aspire to.  I enjoy buying food only to have it eaten; and never returned; nor offered food when he buys it. It's the best.  ,M,31,English.
