workerid,nonliteral,happy1,sad1,amuse1,content1,disapp1,anger1,regret1,happy2,sad2,amuse2,content2,disapp2,anger2,regret2,response1ReactionTime,response2ReactionTime,freeResponseReactionTime,consent,ventingResponseLength,ventingResponse,gender,age,nativeLanguage
20,1,5,3,1,8,7,2,1,1,5,1,8,6,1,1,33425,22800,146109,1,408,My roommate was speaking before a crowd of people. This was not easy becasuse she was using a foreign language. People that I know well that speak that language natively openly laughed at her and made her feel embarassed. This made me extremely anger. They try to speak my language but are not perfect and we do not laugh at them. I don't understand why they feel like it's okay for them to behave that way. ,F,52,English
21,1,3,7,2,4,7,7,7,6,4,5,4,6,5,4,29845,22447,149853,1,286,I loaned money to my Mom out the goodness of my heart and instead of paying me back she decided it was \owed\ to her for something else she had given me as a gift and refused to repay me. One would think that GIFTS would not later be subject to repayment; but maybe I am a giant Greedo.,F,37,English
22,1,5,6,2,2,7,6,2,3,5,2,3,8,6,2,52501,41553,155275,1,341,Due to my son's habit of skipping homework and not putting on his non existent thinking cap when it comes to studying; he failed English. He now makes me put the taxi cab sign on my car to take him back and forth to summer school; when this should be time for me to hang out and have fun with my other kids. There goes my gas money and time.,F,58,English
23,0,1,1,1,1,1,9,1,1,1,1,1,9,9,1,13692,10124,93563,1,253,I was tricked by a friend into thinking she had feelings for me when she didn't. I was very mad about the whole situation. She told me she loved me and not even a week later told me she didn't really love me. I would never want to experience that again.,M,21,English
24,1,1,9,1,1,9,9,6,1,2,3,3,1,1,1,13238,17979,75249,1,342,I was pregnant; and I was waiting until 12 weeks to tell a close friend that I was pregnant with twins.  He knew we had fertility struggles; but when I told him (at 12 weeks) he didn't act happy at all.  He acted like a child; sulking in the corner and not acting happy for me at all.  I was furious and didn't talk to him for a couple weeks.,F,33,English
25,1,1,7,1,1,7,7,5,3,5,5,1,5,5,3,15780,13861,118114,1,284,I tried to communicate with my parents on a visit home. Bad idea. Nothing but complaints about their cushy life. Nothing but talking about themselves. Nothing I could do was right. I'd say it was like talking to a wall; but walls aren't generally offensive while they're ignoring you.,F,31,english
26,0,1,8,1,1,7,8,7,1,7,1,1,7,8,7,24928,14236,150542,1,375,My brother got into a car accident with my car when he was 17. I was 18 and had just gotten the car and he was jealous. He decided to take my car without my knowing about it and go for a joyride in it. About the time I figured out my car was gone I got a phone call from him saying he had gotten it into an accident. He totaled my car. I was angry for a long time about that.,F,30,English
27,1,1,7,1,1,8,8,5,5,2,5,5,3,4,5,17883,18794,77030,1,256,My sister; who isn't too bright; decided she wanted a better grade in English. She knew I was the better writer; so she stole my paper for another class and submitted it as her own. So not cool; but hey; it's her. Her moral compass is less than a tiger's. ,F,33,English
28,0,1,4,1,1,4,4,1,7,4,1,7,6,4,1,19011,29280,296531,1,699,So many times I've been there for this girl when she was coming off drugs. I felt like I could guide her into being a \good\ mom. She invited me and my family to her daughter's 5th birthday party which was going to be 1 week from the day she \cleaned up\ and stopped using. When we got to the party she was wandering around the place so lost and confused. She hadn't got any food started; so I helped with that; and got some of the decorations hung. I couldn't believe that she couldn't at the very least stay straight for the party. It was an embarrassment. She was so high she forgot to even do the pinata until everyone had left. I was so angry with her I didn't talk to her for at least a month.,F,31,English
29,0,1,7,1,1,7,9,7,1,7,1,1,6,9,6,13661,8876,49746,1,298,someone hit my car and then drove away. I'd just bought it and I worked so hard to earn the money. My insurance deductible was high and I didn't want my rates to go up. No matter waht; the outcome was bad for me. It was so unfair!! I felt anger and disgust and I was just sick and furious about it.,F,31,english
30,1,1,5,1,1,7,6,3,1,6,2,1,7,4,2,18465,16174,286390,1,550,Me and my brothers good friend; who we thought of almost like another brother (thought; past tense of course); blew up at my brother for something that my brother had no idea would set our friend off like that; as if he was supposed to be some kind of mind reader.\n\nMy brother meant well; not that you'd think it from how our friend reacted; and was actually trying to seek out a friendly face. That turned our real well. Our friend had been undergoing a lot of stress lately; sure. That's a good excuse for treating a close friend like trash; right?,M,28,english
31,0,1,3,1,1,4,6,4,2,3,1,4,3,6,6,35689,24159,157562,1,437,Several years back my sisters lived with my mom and stepdad.  My stepdad is generally a nice guy but for whatever reason one day he snapped.  My sister was arguing with him and they started shouting.  He then hit her in the face and caused her to bleed.  When I heard about it it pissed me off and wanted to kill him but the whole family sat down and discussed it and he went to counseling and he hasn't done anything like it since then.,M,22,english
32,0,1,2,1,1,7,9,5,1,3,1,1,6,9,3,12395,12901,121043,1,465,My wife always tells me to do things with my baby multiple times.  Last night; for instance; I was getting him out of the car and she kept telling me how to do it properly.  I finally told her that I got it and stormed off.  She didn't like my response and kept hammering the point home.  I then told her I got it again and she started to cry.  I realized that she wasn't going to leave me alone about this; so I sucked it up and pretended to listen to her lecture.,M,33,English
33,1,2,1,7,5,9,8,4,7,1,1,7,1,1,1,24572,31012,280501,0,657,I asked my girlfriend to borrow money one day to open a bank account. She said it was okay as long as I signed a contract saying I would pay her back. She comes from a history of abusive boyfriends; and just a troubling history. I come from a history of making good money; and there was never an instance where I needed to borrow money. I made a big move from California to Louisiana; so the days of making 55;000-60;000 are gone and old at the moment. No one knows me here. Back to the point. I found it really offensive as I never had anyone... not trust me in regards to money like that before. Contracts sound like something a stranger would ask of you.,M,29,English
34,1,1,3,1,1,8,8,5,1,3,1,1,8,8,6,24024,16962,101878,1,294,I told my brother i wanted to go into a new work field. he laughed at me and told me that going into a nurse profession is girlie. I told him it would be something i was good at. He started laughing and made fun of me. He made me feel regret for even telling him. i wish he was more supportive.,M,35,english
35,1,4,7,4,3,6,8,6,4,8,2,2,7,8,8,15859,12022,118871,1,392,My Mom asked me for $10 one day last summer. I told her to take my debit card and just get it out because I didn't have any cash on me. She ended up withdrawing all of the money I had saved. I was so glad she did that. It wasn't like I needed that money to pay for school; my car; and all of my other bills. I didn't find out she did it until a few days later; and then I exploded...with joy.,M,21,English
36,1,2,8,1,1,8,8,5,5,6,5,2,3,6,4,19991,33184,171263,1,298,My Mother got and I got into a debate about my friends and how she doesn't like any of them.  Ironically she doesn't have any friends herself; so I'm unsure as to why she feels the need to disparage mine.  She says they all weird.  If she only knew how \weird\ they were; she would really be upset.,M,24,English
37,1,1,7,1,1,9,9,9,1,9,1,1,9,9,9,12619,15296,100568,1,327,My friend was relying on me to take him to work and I got tired of it. He would not help pay for gas or do anything to help me. I got tired of it and told him to either pay up or find another ride. He got angry with me and acted like I was obligated to take him.  I broke off the friendship after that and will not do it again.,M,24,English
